codIndicador,nomeIndicador,codPerfil,nomePerfil,codMedida,tipoMovimento,dtMovto,diaMovto,mesMovto,anoMovto,anoMesDiaMovto,anoMesMovto,mesAnoMovto,vlrMovto,Cidade,Vendedor,Documento,Estrutura,Filial,Fornecedor,Historico,Mercadoria,Regiao,UF
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-01-03,3,1,2020,2020-01-03,2020-01-01,2020-01-01,230.0,CONCÓRDIA,1 CLAUDIO 15/07,960/nfe1,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),Nota de Serviços - 911,KM RODADO,.,SC
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-01-20,20,1,2020,2020-01-20,2020-01-01,2020-01-01,50.0,.,MAURICIO,6661/REQ,12. 1. 1 -> Oleo e Derivados,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,LEONIDIO CATARINA - M (114),REQUISICAO - 113,OLEO AC DELCO 15W40 CG-4 - MOTOR DIESEL,.,.
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-01-29,29,1,2020,2020-01-29,2020-01-01,2020-01-01,161.0,CONCÓRDIA,VENDEDOR DA STARA,3476/NFe,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),VENDAS OFICINA - 61,KM RODADO,PASSO FUNDO,SC
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-01-29,29,1,2020,2020-01-29,2020-01-01,2020-01-01,161.0,CONCÓRDIA,VENDEDOR DA STARA,3477/NFe,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),VENDAS OFICINA - 61,KM RODADO,PASSO FUNDO,SC
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-02-04,4,2,2020,2020-02-04,2020-02-01,2020-02-01,161.0,CONCÓRDIA,VENDEDOR DA STARA,3478/NFe,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),VENDAS OFICINA - 61,KM RODADO,PASSO FUNDO,SC
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-03-02,2,3,2020,2020-03-02,2020-03-01,2020-03-01,157.2,CONCÓRDIA,1 CLAUDIO 15/07,961/nfe1,0.64.28 -> 0.64.28,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),VENDAS BALCAO - NF. - 6,VIGA CHASSIS CONT. ROLL-ON EST. 6500,.,SC
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-03-17,17,3,2020,2020-03-17,2020-03-01,2020-03-01,1000.0,CONCÓRDIA,7 CLAUDEMIR GARBINATO,1002051/M1,0.64.28 -> 0.64.28,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,Mauricio Brocco 1 (1),Saídas sem ítens (extra) - 112,VIGA CHASSIS CONT. ROLL-ON EST. 6500,.,SC
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-03-30,30,3,2020,2020-03-30,2020-03-01,2020-03-01,70.0,XANXERE,VENDEDOR DA STARA,3479/NFe,9. 6. 1 -> Peças Paralelas,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,1059 - BIG GRAVATAÍ (36),VENDAS OFICINA - 61,MAO DE OBRA DA GM,PASSO FUNDO,SC
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-03-30,30,3,2020,2020-03-30,2020-03-01,2020-03-01,161.0,XANXERE,VENDEDOR DA STARA,3480/NFe,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),VENDAS OFICINA - 61,KM RODADO,PASSO FUNDO,SC
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-03-30,30,3,2020,2020-03-30,2020-03-01,2020-03-01,161.0,XANXERE,VENDEDOR DA STARA,3481/NFe,8. 1. 6 -> Mecanica - Terceiros,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,BURLAMAQUE COM. DE MOTOS LT. (107),VENDAS OFICINA - 61,KM RODADO,PASSO FUNDO,SC
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-05-19,19,5,2020,2020-05-19,2020-05-01,2020-05-01,70.0,XANXERE,VENDEDOR DA STARA,3483/NFe,9. 6. 1 -> Peças Paralelas,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,1059 - BIG GRAVATAÍ (36),VENDAS OFICINA - 61,MAO DE OBRA DA GM,PASSO FUNDO,SC
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-05-20,20,5,2020,2020-05-20,2020-05-01,2020-05-01,70.0,XANXERE,VENDEDOR DA STARA,3484/NFe,99. 3. 6 -> PONTEIRA,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,1059 - BIG GRAVATAÍ (36),VENDAS OFICINA - 61,MAO DE OBRA MECANICA TERCEIRO,PASSO FUNDO,SC
FIN001,Faturamento,1,Faturamento,R$,Diário,2020-05-20,20,5,2020,2020-05-20,2020-05-01,2020-05-01,7.0,XANXERE,VENDEDOR DA STARA,3485/NFe,10. 1. 3 -> Acabamento Interno,1 - CGI SOFTWARE - FILIAL CARTAO DE CREDITO,1059 - BIG GRAVATAÍ (36),VENDAS OFICINA - 61,ENCOSTO BANCO,PASSO FUNDO,SC
